Child,Observer,Activity,Time,Value
1,1,cw,08:46:06,3
1,1,cw,08:47:08,4
1,1,cw,08:48:14,3
1,1,cw,08:55:07,4
1,1,st,08:58:42,3
1,1,st,08:59:52,2
1,1,cw,09:00:29,3
1,1,cw,09:01:16,4
1,1,cw,09:01:38,4
1,2,cw,09:03:53,3
1,2,cw,09:06:42,2
1,2,cw,08:47:17,3
1,2,cw,08:48:09,2
1,2,cw,08:49:09,3
1,2,cw,08:51:39,2
1,2,cw,08:51:39,1
1,2,cw,08:51:45,2
1,2,cw,08:56:47,3
1,2,cw,08:57:02,4
1,2,st,08:59:52,3
1,2,st,08:59:53,2
1,2,st,09:00:02,3
1,2,cw,09:01:50,4
1,2,cw,09:06:30,3
1,2,cw,09:06:42,3
2,1,cw,09:10:50,3
2,1,cw,09:10:51,2
2,1,cw,09:12:51,3
2,1,cw,09:14:26,4
2,1,cw,09:14:45,3
2,1,cw,09:16:05,4
2,1,cw,09:19:40,3
2,1,st,09:24:53,2
2,1,st,09:27:07,3
2,1,st,09:27:32,2
2,1,st,09:28:00,2
2,2,cw,09:10:50,4
2,2,cw,09:17:55,3
2,2,cw,09:17:57,2
2,2,cw,09:17:59,3
2,2,cw,09:20:11,2
2,2,cw,09:20:17,1
2,2,cw,09:21:59,2
2,2,cw,09:22:01,3
2,2,cw,09:24:31,2
2,2,cw,09:24:32,1
2,2,cw,09:24:38,2
2,2,cw,09:24:42,1
2,2,cw,09:25:22,2
2,2,cw,09:25:44,1
2,2,st,09:26:03,2
2,2,st,09:26:04,3
2,2,st,09:26:14,2
2,2,st,09:26:40,3
2,2,st,09:26:42,4
2,2,st,09:27:15,3
2,2,st,09:27:55,2
2,2,st,09:28:00,2
3,1,cw,10:23:58,3
3,1,cw,10:29:10,2
3,1,cw,10:33:22,3
3,1,cw,10:33:27,3
3,1,st,10:38:33,2
3,1,st,10:39:26,1
3,1,cw,10:41:27,2
3,1,cw,10:43:35,2
3,2,cw,10:23:58,3
3,2,cw,10:25:23,4
3,2,cw,10:29:55,3
3,2,cw,10:35:42,4
3,2,cw,10:37:20,3
3,2,st,10:39:04,2
3,2,cw,10:40:14,3
3,2,cw,10:43:35,3
4,1,cw,10:52:26,3
4,1,cw,10:55:06,4
4,1,st,11:07:15,3
4,1,cw,11:09:46,4
4,1,cw,11:11:49,4
4,2,cw,10:52:26,4
4,2,st,11:07:31,3
4,2,cw,11:11:49,4
5,1,cw,11:20:31,1
5,1,cw,11:22:30,2
5,1,st,11:27:19,3
5,1,st,11:28:48,2
5,1,st,11:29:10,1
5,1,cw,11:31:33,2
5,1,cw,11:32:25,3
5,1,cw,11:37:04,3
5,2,cw,11:20:31,2
5,2,cw,11:20:32,1
5,2,cw,11:21:47,2
5,2,cw,11:21:47,3
5,2,cw,11:22:04,2
5,2,cw,11:22:55,3
5,2,cw,11:25:38,2
5,2,cw,11:27:00,3
5,2,st,11:28:38,2
5,2,st,11:28:38,1
5,2,cw,11:31:23,2
5,2,cw,11:32:15,3
5,2,cw,11:34:06,2
5,2,cw,11:35:16,1
5,2,cw,11:37:04,1
6,1,cw,11:42:56,2
6,1,cw,11:45:16,3
6,1,cw,11:46:12,4
6,1,st,11:50:47,3
6,1,cw,11:52:52,4
6,1,st,11:54:54,3
6,1,st,11:54:58,2
6,1,st,11:55:37,1
6,1,st,11:56:00,1
6,2,cw,11:42:56,2
6,2,cw,11:49:57,3
6,2,st,11:50:35,4
6,2,st,11:50:37,3
6,2,cw,11:52:52,4
6,2,st,11:55:12,2
6,2,st,11:55:13,1
6,2,st,11:55:27,0
6,2,st,11:56:00,0
