child,timestamp,measureName,measureVal,activity
1,17,proximity:,42,cw
1,18,proximity:,91,cw
1,18,proximity:,42,cw
1,18,proximity:,91,cw
1,18,look:,left,cw
1,18,proximity:,42,cw
1,18,proximity:,91,cw
1,18,proximity:,42,cw
1,18,proximity:,91,cw
1,19,proximity:,43,cw
1,19,proximity:,91,cw
1,19,look:,left,cw
1,19,proximity:,43,cw
1,19,proximity:,97,cw
1,19,proximity:,43,cw
1,19,movement:,3296,cw
1,20,look:,left,cw
1,20,proximity:,74,cw
1,20,proximity:,45,cw
1,21,movement:,-208,cw
1,21,movement:,11280,cw
1,21,look:,left,cw
1,21,movement:,-640,cw
1,22,look:,left,cw
1,22,movement:,7568,cw
1,22,movement:,8640,cw
1,23,movement:,-3296,cw
1,23,look:,left,cw
1,23,proximity:,51,cw
1,23,movement:,2880,cw
1,23,movement:,4672,cw
1,24,proximity:,76,cw
1,24,movement:,3664,cw
1,24,proximity:,55,cw
1,24,movement:,7008,cw
1,24,proximity:,81,cw
1,24,movement:,-2096,cw
1,24,movement:,13120,cw
1,24,movement:,17184,cw
1,24,look:,left,cw
1,24,proximity:,43,cw
1,24,movement:,8160,cw
1,25,proximity:,35,cw
1,25,novelty:,11.4588251114,cw
1,25,movement:,-400,cw
1,25,movement:,6368,cw
1,25,movement:,2304,cw
1,25,movement:,-3728,cw
1,27,look:,left,cw
1,28,look:,left,cw
1,28,proximity:,41,cw
1,29,novelty:,8.7994432449,cw
1,29,look:,left,cw
1,29,proximity:,47,cw
1,30,look:,left,cw
1,30,proximity:,40,cw
1,31,look:,left,cw
1,31,proximity:,46,cw
1,32,look:,robot,cw
1,32,look:,left,cw
1,33,movement:,12400,cw
1,33,movement:,-16784,cw
1,33,look:,left,cw
1,33,movement:,-9952,cw
1,33,movement:,-1120,cw
1,34,movement:,-4880,cw
1,34,movement:,20656,cw
1,34,movement:,27296,cw
1,34,movement:,22640,cw
1,34,look:,left,cw
1,34,movement:,368,cw
1,34,movement:,20656,cw
1,35,movement:,11728,cw
1,35,movement:,976,cw
1,35,movement:,-29504,cw
1,35,movement:,-18992,cw
1,35,proximity:,52,cw
1,35,movement:,-12704,cw
1,36,movement:,22464,cw
1,36,look:,left,cw
1,36,movement:,23536,cw
1,36,movement:,1504,cw
1,36,proximity:,58,cw
1,36,movement:,28928,cw
1,36,proximity:,64,cw
1,36,movement:,-27312,cw
